"","location","motsum","copsum","chalsum","Sum_all_lice","attachedsum"
"1","Bedwell Sound Middle",4,13,39,56,52
"2","Bedwell Sound North",0,0,0,0,0
"3","Bedwell Sound South",10,92,116,218,208
"4","Cancer",0,0,3,3,3
"5","Cypre River",1,21,15,37,36
"6","Moyeha",0,0,1,1,1
"7","North Meares",66,334,559,959,893
"8","Ritchie Bay",113,301,561,975,862
"9","White Pine",5,10,23,38,33
