"","location","motsum","attachedsum","copsum","chalsum","Sum_all_lice","SE.motile","SE.attached","SE.cops","SE.chals","SE.all"
"1","Bedwell Sound Middle",0.0168776371308017,0.20253164556962,0.0506329113924051,0.151898734177215,0.219409282700422,0.010298840041045,0.0333686649480055,0.0154738760498897,0.0300574093622566,0.0355257800786454
"2","Bedwell Sound North",0,0,0,0,0,0,0,0,0,0
"3","Bedwell Sound South",0.031578947368421,0.701754385964912,0.308771929824561,0.392982456140351,0.733333333333333,0.0103769987810806,0.0620513671258101,0.0370035410214683,0.0460961764785722,0.0647869418144434
"4","Cancer",0,0.06,0,0.06,0.06,0,0.0443547848464572,0,0.0443547848464572,0.0443547848464572
"5","Cypre River",0.00584795321637429,0.181286549707602,0.105263157894737,0.0760233918128653,0.187134502923977,0.00584795321637425,0.0386298341347608,0.0262985839867363,0.0234690846178078,0.0414775671426456
"6","Moyeha",0,0.00602409638554218,0,0.00602409638554218,0.00602409638554218,0,0.00602409638554217,0,0.00602409638554217,0.00602409638554217
"7","North Meares",0.136929460580913,1.85269709543568,0.692946058091289,1.1597510373444,1.98962655601659,0.0193673561707421,0.103061324905435,0.0523165293998269,0.0725618367357567,0.110189228227118
"8","Ritchie Bay",0.282500000000001,2.155,0.752500000000001,1.4025,2.4375,0.0327401001892328,0.12375672433061,0.0682073308005624,0.0917047369110769,0.141164985949581
"9","White Pine",0.05,0.33,0.1,0.23,0.38,0.021904291355759,0.0652191333393456,0.0301511344577763,0.0547814758929522,0.0678381913233261
