"","Week","Stage","mean","lci","uci"
"1","Apr 01 21","copepodid",0.142824851133558,0.139941690962099,0.145772594752187
"2","Apr 08 21","copepodid",0.224215755171233,0.220185185185184,0.256551724137931
"3","Apr 15 21","copepodid",0.11850971567708,0.116,0.123030303030303
"4","Apr 22 21","copepodid",0.333309952911004,0.329932659932657,0.345185185185185
"5","Apr 29 21","copepodid",0.676537227973141,0.671372549019608,0.68013856812933
"6","May 06 21","copepodid",2.0253575927688,1.99475,2.04413897280966
"7","May 13 21","copepodid",1.12625043433527,1.10529411764706,1.13542406311637
"8","May 20 21","copepodid",0.640564910176948,0.628882147264496,0.658570437196392
"9","May 27 21","copepodid",1.43660854875872,1.4290450928382,1.44704570791527
"11","Apr 01 21","chalimus",0.101319347107035,0.0962099125364431,0.102754682119762
"12","Apr 08 21","chalimus",0.0402924759825114,0.0380952380952382,0.0440000000000001
"13","Apr 15 21","chalimus",0.0396793339464076,0.0354838709677421,0.0412903225806456
"14","Apr 22 21","chalimus",0.770328971114068,0.765036390101888,0.780588235294117
"15","Apr 29 21","chalimus",2.03240330013713,2.01707317073171,2.03959183673469
"16","May 06 21","chalimus",2.28545822324939,2.22758620689655,2.30518518518519
"17","May 13 21","chalimus",2.17635960092985,2.14333333333333,2.18596491228071
"18","May 20 21","chalimus",1.76551902098242,1.75401978973407,1.81042128603104
"19","May 27 21","chalimus",1.80989184750108,1.78587494376968,1.81854945054945
"21","Apr 01 21","motile",0,0,0
"22","Apr 08 21","motile",0,0,0
"23","Apr 15 21","motile",0,0,0
"24","Apr 22 21","motile",0.0606183650791358,0.0532142857142858,0.0622131147540987
"25","Apr 29 21","motile",0.203483918357833,0.200744186046511,0.215
"26","May 06 21","motile",0.201551900314961,0.198481012658227,0.21
"27","May 13 21","motile",0.143691607867132,0.138144329896907,0.145217391304348
"28","May 20 21","motile",0.0697695199957133,0.067411402157165,0.0760188087774295
"29","May 27 21","motile",0.76764003337214,0.74247491638796,0.777777777777777
"31","Apr 01 21","total",0.246626610011241,0.243487638958022,0.255393586005831
"32","Apr 08 21","total",0.257811357526313,0.249568965517241,0.264810126582278
"33","Apr 15 21","total",0.157827459615049,0.154260869565218,0.161714285714286
"34","Apr 22 21","total",1.16798434220462,1.16259487179487,1.17805555555556
"35","Apr 29 21","total",2.92458433990587,2.91025,2.94222222222222
"36","May 06 21","total",4.50141340966943,4.45828571428572,4.51767103347889
"37","May 13 21","total",3.4429731715511,3.38266666666667,3.46043956043955
"38","May 20 21","total",2.46737054361844,2.44895382395382,2.48854244928625
"39","May 27 21","total",4.02414112277971,3.95324283559578,4.04508345428157
