"","location","total.fish","infected.fish","prevalence"
"1","Bedwell Sound Middle",252,44,0.174603174603175
"2","Bedwell Sound North",220,0,0
"3","Bedwell Sound South",290,132,0.455172413793103
"4","Cancer",51,2,0.0392156862745098
"5","Cypre River",181,28,0.154696132596685
"6","Moyeha",204,1,0.00490196078431373
"7","North Meares",482,301,0.62448132780083
"8","Ritchie Bay",400,306,0.765
"9","White Pine",100,31,0.31
